#？                               下山橘叟
#？                               伊ヶ崎博
#？                               八代大橋宗珉
#？                               大橋鐐英
#？                               小倉文之亟
#？                               平井長之亟
#？                               望月仙閣
#？                               木村慎冶
#？                               松本紹尊
#？                               梅原嗣史
#？                               榊原橘叟
#？                               石川凡
おおくぼまさる                    大久保勝
おおこしまこと                    大越誠
おおさかやふとしひょうえ          大阪屋太兵衛
おおさきくまお                    大崎熊雄
おおさわきんぞう                  大澤金蔵
おおしたとしこう                  大下慧香
おおしまえいじ                    大島映二
おおしまきへえ                    大島喜兵衛
おおしろやすひろ                  大城康浩
おおすぎぎいち                    大杉義一
おおすぎゆう                      大杉悠
おおたかずひろ                    大多和裕
おおたしんいちろう                太田振一郎
おおたしんとき                    太田震斎
おおただんうえもん                太田弾右衛門
おおたひろお                      太田博朗
おおたまなぶ                      大田学
おおたまなぶ                      太田學
おおたもとうえもん                太田元右衛門
おおつかげんえもん                大塚源右衛門
おおつかじんきちうえもん          大塚甚右衛門
おおつきたかし                    大槻敬
おおつごろうざえもん              大津五郎左衛門
おおともかんじ                    大友寛二
おおとものぼる                    大友昇
おおにしかずひろ                  大西一広
おおにしきさぶろう                大西喜三郎
おおにしなりあき                  大西就明
おおにしひかり                    大西光
おおぬまひろゆき                  大沼洋之
おおのげんいち                    大野源一
おおのせいじ                      大野清司
おおのひろき                      大野弘喜
おおのやいちお                    大野八一雄
おおはしきょせん                  大橋巨泉
おおはしたかひろ                  大橋貴洸
おおはしなみおんな                大橋浪女
おおはしやながわ                  大橋柳川
おおはしやなぎゆき                大橋柳雪
おおはらえいじ                    大原英二
おおばたけし                      大場武志
おおばまさゆき                    大場正幸
おおばみか                        大庭美夏
おおばみき                        大庭美樹
おおひらたけひろ                  大平武洋
おおひらやすひろ                  大平泰弘
おおまえよしあき                  大前吉章
おおみねひろゆき                  大峰裕之
おおむらかずひさ                  大村和久
おおむらただお                    大村忠雄
おおやとうきち                    大矢東吉
おおやまやすはる                  大山康晴
おおわくたけし                    大和久彪
おかざきしめい                    岡崎史明
おかざきひろし                    岡崎洋
おかだかずき                      岡田和樹
おかだかつひろ                    岡田勝浩
おかださない                      岡田左内
おかだしょうご                    岡田昇吾
おかだゆうすけ                    岡田裕介
おかのいずみもり                  岡野和泉守
おかのこう                        岡野公
おかばたあきらはん                岡畑明範
おかむらいくじろう                岡村幾次郎
おかむらほうたろう                岡村豊太郎
おかむらまさふみ                  岡村正文
おかもいつき                      岡茂樹
おかもととしひろ                  岡本敏弘
おかもとようすけ                  岡本洋介
おかやすれいじ                    岡安玲士
おかわだたけし                    岡和田剛
おがさわらいちろう                小笠原一郎
おがさわらかすみ                  小笠原香純
おがたたかし                      尾形充
